강의실,강의시간
B103,화1
B106,월1
B111,화3
B112,월2
B116,화2
B122,월3
B123,수7
B124,수6
B127,수5
B133,수4
B134,수3
B202,수2
B205,수1
B211,금9
B212,금8
B213,목9
B216,수9
B222,수8
B226,목7
B227,월4
B232,금5
B235,금4
B236,목8
B301,월5
B304,화4
B305,화7
B306,화6
B307,금6
B312,월7
B313,화9
B316,목3
B325,금1
B331,화8
B333,월9
B401,목4
B403,목1
B406,금3
B411,목2
B422,금2
D102,화1
D107,월1
D111,화3
D114,월2
D121,화2
D122,월3
D125,수7
D127,수6
D132,수5
D133,수4
D134,수3
D136,수2
D202,수1
D203,금9
D204,금8
D214,목9
D217,수9
D223,수8
D224,목7
D225,월4
D231,금5
D233,금4
D235,목8
D236,월5
D302,화4
D311,화7
D312,화6
D314,금6
D315,월7
D317,화9
D322,목3
D323,금1
D327,화8
D403,월9
D405,목4
D407,목1
D412,금3
D417,목2
C101,화1
C107,월1
C122,화3
C124,월2
C125,화2
C133,월3
C134,수7
C135,수6
C136,수5
C207,수4
C212,수3
C215,수2
C221,수1
C225,금9
C233,금8
C234,목9
C235,수9
C237,수8
C302,목7
C303,월4
C304,금5
C305,금4
C306,목8
C311,월5
C312,화4
C316,화7
C321,화6
C325,금6
C326,월7
C327,화9
C335,목3
C401,금1
C402,화8
C403,월9
C404,목4
C405,목1
C406,금3
C412,목2
C413,금2
A104,화1
A107,월1
A112,화3
A114,월2
A116,화2
A117,월3
A122,수7
A123,수6
A124,수5
A125,수4
A127,수3
A132,수2
A134,수1
A137,금9
A203,금8
A217,목9
A223,수9
A226,수8
A231,목7
A304,월4
A305,금5
A306,금4
A323,목8
A325,월5
A327,화4
A333,화7
A334,화6
A335,금6
A337,월7
A402,화9
A411,목3
A415,금1
A416,화8
A417,월9
A422,목4
A431,목1
A432,금3
A433,목2
A434,금2
E105,화1
E123,월1
E132,화3
E136,월2
E137,화2
E205,월3
E206,수7
E212,수6
E213,수5
E215,수4
E216,수3
E217,수2
E221,수1
E233,금9
E237,금8
E301,목9
E303,수9
E307,수8
E312,목7
E314,월4
E315,금5
E321,금4
E327,목8
E335,월5
E401,화4
E404,화7
E407,화6
E412,금6
E415,월7
E417,화9
E421,목3
E422,금1
E423,화8
E424,월9
E425,목4
B124,화4
E321,목1
E503,월6
C413,목9
C405,월9
C402,수7
D534,화3
E417,목1
B232,화7
D114,금6
B422,금1
D437,월4
F236,화9
C526,목3
B403,월2
A323,월5
B205,금9
F417,화1
F503,목4
A501,수5
D107,화4
B307,월4
C512,금6
F135,월8
C413,수9
F106,금9
D516,목1
E425,금4
B205,화7
F511,금8
F536,월3
C325,목7
C125,월8
F117,월2
B133,화8
A501,목6
E137,목4
F526,수5
C507,화3
B232,월2
E216,화8
C212,금9
B211,월7
B535,금3
C406,화9
B535,금6
D403,수2
B504,화6
F437,수5
B522,목7
